"filename", "language", "PostCSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\index.html", "HTML", 0, 0, 27, 0, 5, 32
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\js\1-game.js", "JavaScript", 0, 44, 0, 5, 7, 56
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\levels\level1.js", "JavaScript", 0, 49, 0, 2, 1, 52
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\models\2-world.class.js", "JavaScript", 0, 93, 0, 14, 26, 133
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\models\background-object.class.js", "JavaScript", 0, 9, 0, 0, 2, 11
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\models\character.class.js", "JavaScript", 0, 139, 0, 1, 13, 153
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\models\chicken.class.js", "JavaScript", 0, 30, 0, 0, 5, 35
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\models\clouds.class.js", "JavaScript", 0, 16, 0, 0, 2, 18
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\models\drawable-object.class.js", "JavaScript", 0, 37, 0, 0, 9, 46
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\models\endboss.class.js", "JavaScript", 0, 36, 0, 0, 6, 42
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\models\keyboard.class.js", "JavaScript", 0, 8, 0, 0, 1, 9
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\models\level.class.js", "JavaScript", 0, 13, 0, 0, 2, 15
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\models\movable-objects.class.js", "JavaScript", 0, 63, 0, 1, 13, 77
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\models\status-bar.class.js", "JavaScript", 0, 95, 0, 24, 15, 134
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\models\thowable-object.class.js", "JavaScript", 0, 68, 0, 5, 11, 84
"c:\Users\DonSanchos\Documents\DEV-Local\Developer Akademie\Modul 12\el_polo_loco\style.css", "PostCSS", 17, 0, 0, 2, 2, 21
"Total", "-", 17, 700, 27, 54, 120, 918